id,Stationsname,Lon,Lat,Höhe [m],Startdatum,Enddatum,Bundesland
1802,Weitra,14.89861,48.70222,571.9,2003-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
1906,Allentsteig,15.36694,48.69083,598.8,1992-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
1920,Stift Zwettl,15.20361,48.61778,502.4,1994-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
2114,Horn,15.65361,48.67056,318.4,2007-07-01 00:00:00+00:00,2020-10-05 00:00:00+00:00,Niederösterreich
2115,Gars am Kamp,15.66778,48.59556,267.0,1999-03-10 00:00:00+00:00,2016-05-18 00:00:00+00:00,Niederösterreich
2116,Gars am Kamp,15.7,48.59194,273.0,2016-05-20 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
2117,Horn Wasserwerk,15.643888,48.674999,308.0,2019-04-15 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
2201,Hollabrunn/Schöngrabern,16.061945,48.604443,253.0,1989-04-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
2207,Schöngrabern,16.06167,48.60333,253.0,2007-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
2400,Laa an der Thaya,16.385279,48.726112,187.0,1952-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
2401,Laa an der Thaya Kläranlage,16.38972,48.73139,184.0,2006-12-18 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
2415,Leiser Berge,16.37167,48.55889,456.5,1998-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
2430,Mistelbach,16.60944,48.57083,191.0,2004-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
2503,Poysdorf Ost,16.6375,48.66917,198.0,1991-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
2600,Hohenau an der March,16.904444,48.617222,155.0,1948-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
2601,Hohenau,16.90444,48.61639,153.8,2007-04-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,Niederösterreich
2602,Hohenau,16.913055,48.605835,150.0,2022-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
2900,Reichersberg,13.37,48.336113,350.0,1948-10-01 00:00:00+00:00,2008-09-30 00:00:00+00:00,Oberösterreich
2902,Reichersberg,13.37611,48.33111,351.0,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
2910,Schärding,13.43453,48.46428,306.7,1992-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
3110,Waizenkirchen,13.864722,48.326668,400.0,1948-01-01 00:00:00+00:00,2008-09-30 00:00:00+00:00,Oberösterreich
3111,Waizenkirchen,13.86458,48.32656,400.2,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
3202,Linz Stadt,14.28528,48.29639,262.0,1992-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
3210,Reichenau (Oberösterreich),14.3475,48.457222,685.0,1972-10-01 00:00:00+00:00,2008-12-31 00:00:00+00:00,Oberösterreich
3315,Reichenau im Mühlkreis,14.34556,48.45917,689.1,2008-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
3400,Allerheiligen,14.639722,48.304722,542.0,1974-08-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Oberösterreich
3425,Bad Zell,14.66361,48.355,554.4,2008-11-09 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
3520,Bärnkopf,15.00278,48.39111,969.0,2003-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
3700,Jauerling,15.348056,48.337222,860.0,1965-11-01 00:00:00+00:00,2023-03-31 00:00:00+00:00,Niederösterreich
3702,Jauerling Gipfel,15.33911,48.33447,955.0,1994-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
3805,Krems,15.62222,48.41861,202.0,1996-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
3811,Langenlois,15.69722,48.4725,207.0,1989-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
4026,Stockerau Flugplatz,16.190861,48.409833,210.0,2023-05-11 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
4030,Stockerau,16.19261,48.39689,203.3,1997-06-01 00:00:00+00:00,2024-06-11 00:00:00+00:00,Niederösterreich
4081,Langenlebarn,16.11806,48.32389,175.3,1992-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
4115,Wien Stammersdorf,16.40556,48.30581,190.7,2008-12-09 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien
4125,Wolkersdorf,16.5075,48.38028,184.9,2008-07-23 00:00:00+00:00,2024-10-08 00:00:00+00:00,Niederösterreich
4126,Wolkersdorf,16.508889,48.388056,174.0,2023-06-19 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
4224,Gänserndorf Stadt,16.71361,48.33778,163.0,2002-11-12 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
4305,Zwerndorf,16.83139,48.33806,143.5,1996-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
4501,Ranshofen Braunau,13.02833,48.22417,382.0,1994-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
4515,Ostermiething,12.83167,48.05306,412.0,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
4600,Aspach,13.297222,48.183887,440.0,1969-09-01 00:00:00+00:00,2007-03-31 00:00:00+00:00,Oberösterreich
4601,Aspach,13.3,48.18306,427.0,2009-07-08 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
4611,Mattighofen,13.15111,48.09722,459.8,2008-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
4705,Ried im Innkreis,13.475,48.21722,427.0,1997-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
4801,Gallspach,13.811666,48.209999,368.0,1990-06-01 00:00:00+00:00,2008-06-30 00:00:00+00:00,Oberösterreich
4802,Gallspach,13.825,48.20422,425.9,2012-04-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
4815,Wolfsegg,13.67092,48.10542,635.1,1995-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
4821,Vöcklabruck,13.645833,48.0075,434.0,2008-09-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
4905,Wels-Schleißheim,14.07139,48.16278,309.0,1983-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
5000,Linz Hörsching Flughafen,14.18806,48.23528,298.0,1942-05-15 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
5010,Kremsmünster,14.13222,48.05527,383.0,1874-01-01 00:00:00+00:00,2008-12-31 00:00:00+00:00,Oberösterreich
5012,Kremsmünster,14.13111,48.055,382.0,1988-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
5112,Wachtberg bei Steyr,14.461945,48.048054,392.0,1985-04-01 00:00:00+00:00,2008-07-31 00:00:00+00:00,Niederösterreich
5116,Wachtberg bei Steyr,14.46111,48.0475,384.0,2008-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5130,Enns,14.45028,48.19583,317.0,2008-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
5312,Randegg,14.983334,48.008888,363.0,1986-10-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
5316,Amstetten,14.895,48.10889,266.0,2000-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5410,Oberndorf an der Melk,15.215278,48.063889,297.0,1977-11-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
5412,Oberndorf an der Melk,15.21381,48.06239,295.1,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5413,Melk,15.33139,48.20972,307.0,2008-09-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5421,Wieselburg,15.14672,48.12731,258.7,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5609,St. Pölten Landhaus,15.63111,48.19972,273.6,2003-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5625,Lilienfeld-Tarschberg,15.5875,48.02806,696.0,1992-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5650,Hainfeld Kasberg,15.806111,48.067501,600.0,1993-12-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
5701,Klausen Leopoldsdorf,16.00161,48.08864,389.0,2007-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5725,Kohlreithberg,15.935278,48.175835,490.0,2001-06-01 00:00:00+00:00,2010-06-22 00:00:00+00:00,Niederösterreich
5735,Buchberg,15.94495,48.21362,460.3,2009-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5802,Wien Jubliäumswarte,16.26528,48.22111,450.0,2009-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien
5805,Wien Mariabrunn,16.22944,48.20694,225.0,1997-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien
5820,Brunn am Gebirge,16.27,48.10694,290.6,2008-09-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5870,Baden,16.235556,48.011391,244.8,1982-12-01 00:00:00+00:00,2012-05-31 00:00:00+00:00,Niederösterreich
5881,Gumpoldskirchen,16.28222,48.04028,219.0,1990-11-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,Niederösterreich
5882,Gumpoldskirchen,16.28083,48.03583,212.0,2018-03-28 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5904,Wien Hohe Warte,16.35639,48.24861,198.0,1991-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien
5917,Wien Unterlaa,16.41944,48.125,200.0,1996-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien
5925,Wien Innere Stadt,16.36694,48.19833,177.0,1985-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien
5935,Wien Donaufeld,16.43139,48.25722,160.0,1996-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien
5972,Groß-Enzersdorf,16.55917,48.19975,154.3,1989-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
5990,Schwechat Flughafen,16.58139,48.1175,183.0,1948-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
6020,Fuchsenbigl,16.748056,48.191944,149.0,1946-04-14 00:00:00+00:00,2007-11-30 00:00:00+00:00,Niederösterreich
6101,Bruckneudorf Heidehof,16.846666,48.014721,167.0,1939-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Burgenland
6102,Bruckneudorf,16.845,48.01278,165.6,2007-11-28 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
6111,Bad Deutsch-Altenburg,16.90675,48.13647,168.6,2010-05-27 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
6300,Salzburg Flughafen,13.00861,47.78944,430.0,1939-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
6305,Salzburg Freisaal,13.05417,47.79111,419.0,1992-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
6415,Mattsee,13.10556,47.97722,502.0,1999-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
6430,Kolomansberg,13.27519,47.87772,1113.1,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
6501,Frankenmarkt,13.42306,47.99139,565.0,2004-03-01 00:00:00+00:00,2017-03-25 00:00:00+00:00,Oberösterreich
6510,Mondsee,13.36889,47.84778,491.0,1964-11-01 00:00:00+00:00,2008-12-31 00:00:00+00:00,Oberösterreich
6512,Mondsee,13.34722,47.85083,480.5,2009-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
6540,Unterach am Attersee,13.483611,47.802776,470.0,2019-05-27 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
6610,Feuerkogel,13.71833,47.81777,1618.0,1928-01-01 00:00:00+00:00,2008-12-31 00:00:00+00:00,Oberösterreich
6611,Feuerkogel,13.71778,47.81667,1618.0,1989-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
6620,Gmunden,13.8075,47.91472,424.4,1982-08-12 00:00:00+00:00,2016-04-26 00:00:00+00:00,Oberösterreich
6621,Altmünster,13.77333,47.87917,438.0,2014-11-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
6802,Micheldorf,14.135,47.882778,459.0,2005-08-01 00:00:00+00:00,2008-07-16 00:00:00+00:00,Oberösterreich
6803,Micheldorf,14.13444,47.88306,459.0,2008-07-31 00:00:00+00:00,2022-09-12 00:00:00+00:00,Oberösterreich
6804,Micheldorf,14.117222,47.88388,443.0,2022-09-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
7001,Weyer,14.667222,47.857777,428.0,1989-07-01 00:00:00+00:00,2007-08-31 00:00:00+00:00,Oberösterreich
7002,Weyer,14.66572,47.85719,426.1,2007-07-05 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
7012,Waidhofen an der Ybbs/Zentrum,14.78444,47.95778,365.1,2002-10-10 00:00:00+00:00,2019-06-04 00:00:00+00:00,Niederösterreich
7013,Waidhofen an der Ybbs,14.80972,47.94556,384.0,2017-03-30 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7110,Lunz am See,15.06758,47.85436,611.9,1994-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7221,Mariazell/St. Sebastian,15.30222,47.78917,864.0,2000-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
7301,Kernhof-St. Aegyd am Neuwalde,15.547972,47.819333,679.0,2022-05-06 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7305,Krumbach,16.18667,47.52806,545.2,2006-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7505,Puchberg am Schneeberg,15.90694,47.79028,582.8,1998-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7531,Hohe Wand Hochkogelhaus,16.035,47.82222,936.9,1993-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7604,Wiener Neustadt Flugplatz,16.23147,47.83233,275.0,1992-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7610,Gutenstein Mariahilfberg,15.87611,47.87139,708.9,1996-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7640,Berndorf,16.10528,47.94111,339.0,1992-11-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
7641,Berndorf,16.10111,47.93917,337.0,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7653,Bad Vöslau,16.209444,47.961111,266.0,2021-09-30 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7704,Eisenstadt Nordost,16.53833,47.85417,184.0,1989-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
7710,Seibersdorf,16.504444,47.975,185.0,1982-06-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
7714,Hornstein,16.452103,47.877606,312.0,2024-03-06 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
7890,Neusiedl am See,16.82889,47.94917,117.0,2017-01-20 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
7906,Neusiedl am See,16.84167,47.95083,148.0,2004-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
7912,Podersdorf Strandbad,16.83444,47.86611,116.0,2014-07-22 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
7955,Andau,17.03333,47.7725,117.5,1995-08-01 00:00:00+00:00,2022-06-21 00:00:00+00:00,Burgenland
7956,Andau,17.03556,47.77,117.0,2021-06-17 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
8301,Sulzberg,9.91416,47.52194,1014.0,2008-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
8302,Sulzberg,9.914722,47.522222,1015.0,2009-01-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,Vorarlberg
8805,Achenkirch,11.70528,47.53222,904.0,1998-07-01 00:00:00+00:00,2020-05-31 00:00:00+00:00,Tirol
8806,Achenkirch,11.70667,47.49944,931.0,2016-10-06 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
8807,Achenkirch,11.700833,47.5075,937.0,2020-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
9016,Kufstein,12.16278,47.57528,490.0,1992-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
9019,Söll,12.20028,47.50306,697.0,2015-06-30 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
9105,Kirchdorf in Tirol,12.46306,47.56611,636.6,2006-06-15 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
9110,Kössen,12.39381,47.66289,588.2,2008-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
9111,Kössen,12.393888,47.663055,589.0,2009-01-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Tirol
9211,Lofer Ort,12.69528,47.58444,622.0,1999-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
9215,Loferer Alm,12.64611,47.59778,1619.0,1994-11-10 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
9406,Golling,13.18178,47.59114,489.9,2008-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
9450,St. Koloman,13.2325,47.651669,1000.0,1990-08-01 00:00:00+00:00,2008-08-31 00:00:00+00:00,Salzburg
9501,Abtenau,13.34333,47.56667,709.0,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg
9511,St. Wolfgang,13.45,47.73694,539.0,1990-02-01 00:00:00+00:00,2013-09-30 00:00:00+00:00,Oberösterreich
9512,St. Wolfgang,13.44194,47.74028,544.0,2013-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
9606,Bad Goisern,13.61803,47.64256,502.1,1998-01-01 00:00:00+00:00,2016-02-14 00:00:00+00:00,Oberösterreich
9609,Bad Goisern,13.64472,47.62194,538.0,2014-11-18 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
9611,Bad Ischl,13.65,47.706665,512.0,2003-11-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Oberösterreich
9618,Bad Ischl,13.64714,47.70619,506.7,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
9620,Krippenstein,13.7,47.516666,2050.0,1956-03-21 00:00:00+00:00,2008-06-30 00:00:00+00:00,Oberösterreich
9640,Bad Aussee,13.78278,47.61111,667.0,1983-09-01 00:00:00+00:00,2013-01-31 00:00:00+00:00,Steiermark
9643,Bad Aussee,13.75844,47.6105,743.1,2013-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
9700,Bad Mitterndorf,13.93472,47.55333,814.0,1983-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
9801,Aigen im Ennstal,14.13826,47.53278,641.0,1992-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
9811,Irdning-Gumpenstein,14.09967,47.495,697.1,1990-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
9900,Admont,14.456944,47.573055,648.0,1959-12-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Steiermark
9911,Hall bei Admont,14.49083,47.59444,637.0,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
9919,Windischgarsten,14.32611,47.72028,599.9,1983-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich
9925,Rottenmann,14.43028,47.50767,707.2,2009-08-31 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
10002,Hieflau,14.738055,47.594444,779.0,1998-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Steiermark
10005,Mooslandl,14.76167,47.64753,529.9,2005-09-16 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
10111,Präbichl,14.95416,47.52158,1215.2,2000-09-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
10200,Aflenz,15.24069,47.54594,783.2,1983-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
10400,Mürzzuschlag,15.685833,47.603054,700.0,1948-01-01 00:00:00+00:00,2009-03-31 00:00:00+00:00,Steiermark
10401,Mürzzuschlag,15.67278,47.60222,705.2,2008-09-08 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark
10412,Rax Seilbahnbergstation,15.77861,47.7175,1547.2,1995-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
10415,Semmering,15.82839,47.63325,987.6,1998-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
10500,Mönichkirchen,16.03333,47.51111,991.0,1983-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
10508,Breitenstein,15.836111,47.663612,825.0,1988-01-01 00:00:00+00:00,2007-02-28 00:00:00+00:00,Niederösterreich
10510,Reichenau an der Rax,15.83694,47.69972,488.0,1982-09-16 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
10530,Pottschach,16.008333,47.701389,415.0,1961-04-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
10531,Pottschach,16.00806,47.70083,416.4,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
10550,Hirschenkogel,15.83333,47.62333,1318.1,1994-08-01 00:00:00+00:00,2025-05-21 00:00:00+00:00,Niederösterreich
10600,Aspang,16.092777,47.551945,498.0,1970-08-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
10601,Wiesmath,16.287222,47.598057,700.0,1982-07-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich
10607,Aspang,16.10139,47.575,454.0,2007-11-27 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich
10710,Mattersburg,16.38917,47.745,283.9,2007-11-27 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
10720,Neudorf bei Landsee,16.38139,47.56278,429.0,2015-11-18 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland
11102,Bregenz,9.74611,47.49917,424.0,1984-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11104,Bregenz,9.74611,47.49917,424.0,1993-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11106,Fraxern,9.67444,47.31417,807.0,2003-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11112,Dornbirn,9.72556,47.4325,407.3,1992-04-01 00:00:00+00:00,2022-09-01 00:00:00+00:00,Vorarlberg
11113,Dornbirn,9.725555,47.432499,407.0,2016-12-01 00:00:00+00:00,2022-09-01 00:00:00+00:00,Vorarlberg
11114,Dornbirn,9.72556,47.4325,407.3,2022-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11115,Feldkirch,9.60972,47.27111,438.4,1993-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11116,Laterns-Gapfohl,9.75992,47.27503,1558.7,2013-01-23 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11135,Alberschwende,9.84861,47.4575,715.3,1995-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11146,Rohrspitz,9.63,47.49722,395.1,2008-07-23 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11200,Schoppernau,10.018611,47.311111,835.0,1948-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11203,Schoppernau,10.01778,47.31139,839.0,2007-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11205,Hittisau,9.953333,47.463055,792.0,1999-01-01 00:00:00+00:00,2008-12-31 00:00:00+00:00,Vorarlberg
11300,Schröcken,10.08528,47.26306,1263.0,1895-10-01 00:00:00+00:00,2021-09-01 00:00:00+00:00,Vorarlberg
11301,Schröcken,10.08611,47.26167,1244.0,2007-11-27 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11305,Warth,10.18611,47.25583,1478.0,1984-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11306,Warth,10.185555,47.256943,1475.0,2008-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11311,Mittelberg,10.1525,47.32333,1204.0,2009-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg
11401,Holzgau,10.342222,47.262501,1080.0,2005-09-17 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11402,Holzgau,10.33867,47.25758,1092.0,2007-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11410,Tannheim,10.50583,47.50028,1100.0,2008-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11505,Reutte,10.71528,47.49444,841.8,1994-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11506,Reutte,10.715278,47.494999,850.0,2008-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11602,Ehrwald,10.920278,47.404724,960.0,2001-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11603,Ehrwald,10.92,47.40417,982.0,2007-10-18 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11706,Seefeld,11.17542,47.32478,1181.9,1997-05-15 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11707,Seefeld,11.178333,47.327778,1198.0,2014-12-01 00:00:00+00:00,2025-05-13 00:00:00+00:00,Tirol
11800,Innsbruck Flughafen,11.35528,47.25888,579.0,1951-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11803,Innsbruck Universität,11.38425,47.25986,578.0,1986-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11804,Innsbruck Flughafen,11.35667,47.25999,578.0,1992-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11901,Jenbach,11.75814,47.38878,529.0,1994-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
11903,Jenbach,11.755278,47.389999,530.0,2009-01-01 00:00:00+00:00,2024-04-30 00:00:00+00:00,Tirol
12015,Alpbach,11.93944,47.39667,929.0,2007-11-27 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
12016,Alpbach,11.94055,47.39639,930.0,2009-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol
12201,Kitzbühel,12.358333,47.459722,791.0,2001-07-01 00:00:00+00:00,2016-06-13 00:00:00+00:00,Tirol
12202,Kitzbühel,12.39417,47.44722,746.1,2007-01-01 00:00:00+00:00,2014-03-21 00:00:00+00:00,Tirol
